YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M
2022,1,11,2.98,-999,-999,220.66,-999,-999,9.17,4.01,6.59,7.2,5.68,71.88,1.49,91.49,1.9,2.34,0.84,1.5,146.56
2022,1,12,3.23,-999,-999,220.05,-999,-999,9.14,3.55,6.35,7.64,5.49,69.56,1.78,91.41,2.14,3.33,1.22,2.11,135.25
2022,1,13,3.3,-999,-999,224.2,-999,-999,9.7,3.69,6.69,8.22,5.49,67.88,0,91.45,1.64,3.07,0.95,2.12,147.62
2022,1,14,3.83,-999,-999,188.59,-999,-999,8.74,2.12,5.43,6.87,4.94,65.81,0,91.52,2.05,3.45,1.09,2.36,152.94
2022,1,15,3.67,-999,-999,190.12,-999,-999,8.91,-0.52,4.19,7.32,4.15,54.44,0,91.63,2.75,4.77,1.55,3.22,171.56
2022,1,16,3.58,-999,-999,234.57,-999,-999,10,1.01,5.51,8.36,4.52,55.75,0,91.68,2.29,4.3,0.9,3.4,152.81
2022,1,17,1.55,-999,-999,267.38,-999,-999,9.19,2.3,5.75,7.13,4.94,63.19,0,91.77,1.87,3.27,1.05,2.22,103.44
2022,1,18,3.52,4.17,-999,231.6,-999,-999,10.34,4.21,7.27,8.41,5.68,67.62,0,91.58,2.88,5.48,1.02,4.46,157.5
2022,1,19,2.09,-999,-999,268.27,-999,-999,9.25,3.98,6.62,7.79,5.62,70.88,1.24,91.31,1.68,2.57,0.34,2.23,170.5
2022,1,20,2.17,-999,-999,272.88,-999,-999,9.6,6.73,8.16,9.3,6.77,83,0.99,90.96,1.95,2.91,1.28,1.63,205.19
2022,1,21,2.05,-999,-999,253.58,-999,-999,9.98,6.92,8.44,9.52,6.84,82.31,1.18,91,1.92,3.3,0.67,2.62,142.56
2022,1,22,1.05,-999,-999,257.19,-999,-999,8.39,5.33,6.86,7.8,6.16,81.94,14.6,90.59,5.12,7.56,2.89,4.67,125.56
2022,1,23,0.6,-999,-999,275.18,-999,-999,6.44,4.95,5.69,5.67,6.04,90.62,27.42,90.76,3.33,5.89,1.35,4.54,130.81
2022,1,24,0.87,-999,-999,273.29,-999,-999,6.44,4.58,5.51,4.86,5.8,88.25,4.1,91.1,1.24,1.97,0.55,1.42,166.5
2022,1,25,3,-999,-999,237.04,-999,-999,7.93,4.88,6.4,6.93,5.98,82.31,2.9,91.14,1.75,3.25,0.51,2.74,183.88
2022,1,26,1.88,-999,-999,245.38,-999,-999,7.51,5.22,6.37,7.26,6.04,86.19,1.3,91.26,2.05,3.62,0.85,2.77,213.06
2022,1,27,3.79,-999,-999,193.41,-999,-999,7.71,3.37,5.55,6.33,5.31,75.62,0,91.39,3.59,6.84,1.73,5.1,205.19
2022,1,28,3.75,4.62,-999,194.63,-999,-999,7.37,1.21,4.29,5.86,4.58,67.25,0,91.4,3.76,6.85,2.31,4.54,221.38
2022,1,29,3.99,4.6,-999,210.83,-999,-999,9.43,2.3,5.87,7.46,5,62.94,0,91.47,3.2,5.55,1.87,3.7,165.69
2022,1,30,3.2,-999,-999,222.59,-999,-999,10.33,2.37,6.35,7.95,5.07,59.75,0,91.12,3.34,5.69,2.12,3.56,142.88
2022,1,31,4,4.68,-999,216.41,-999,-999,11.76,2.69,7.23,8.64,5.13,55.06,0,91.08,2.16,3.65,0.59,3.06,146.62
2022,2,1,4.31,-999,-999,201,-999,-999,10.33,3.6,6.97,8.3,5.49,65.12,0,91.02,3.01,5.66,1.68,3.98,190.25
2022,2,2,2.42,4.86,0.38,271.8,6.02,0.52,11.02,3.96,7.49,9.41,5.62,64.19,0.52,90.94,2.47,3.52,0.66,2.85,137.56
2022,2,3,0.81,3.87,0.12,276,1.95,0.17,7.62,5.21,6.41,7.16,6.1,85.38,20.43,90.69,3.41,5.83,0.35,5.48,87.06
2022,2,4,0.69,4.16,0.11,269.19,1.75,0.14,6.84,4.46,5.65,5.9,5.8,86,15.27,90.74,1.39,2.26,0.6,1.66,141.94
2022,2,5,4.55,5.19,0.7,224.4,10.36,0.9,7.05,3.11,5.08,5.16,5.31,77.62,0.01,91.13,2.8,4.41,1.8,2.6,158.19
2022,2,6,3.35,4.91,0.51,270.61,8.06,0.87,10.07,3.73,6.9,7.84,5.55,66.38,0,91.38,2.15,3.7,1.23,2.47,149.19
2022,2,7,3.85,4.87,0.59,240.52,8.86,0.95,11.2,5.23,8.22,9.44,6.1,68.38,0,91.41,2.62,4.52,0.78,3.74,158.5
2022,2,8,4.46,5.03,0.67,231.18,9.92,0.95,11.26,5.43,8.34,9.7,6.23,69.06,0.02,91.26,2.4,3.6,0.89,2.71,160.94
2022,2,9,2.81,4.58,0.42,262.58,6.77,0.6,9.39,5.19,7.29,7.83,6.04,76,1.25,91.36,2.12,3.36,0.32,3.04,178
2022,2,10,4.65,5.4,0.69,215.5,10.51,0.88,9.31,3.3,6.3,7.8,5.31,68.06,0,91.53,3.55,6.27,1.52,4.76,197.81
2022,2,11,4.89,5.61,0.72,205.34,10.99,0.91,8.99,1.78,5.39,7.38,4.82,63.5,0,91.38,3.66,6.62,2.25,4.37,153.56
2022,2,12,4.78,5.5,0.7,213.62,10.73,0.99,10.59,2.14,6.37,8.28,4.94,58,0,91.26,3.22,5.52,1.73,3.79,165
2022,2,13,4.78,5.44,0.69,219.6,10.87,1.04,11.45,2.59,7.02,8.81,5.13,55.81,0,91.22,2.43,4.11,0.7,3.4,166.94
2022,2,14,4.6,5.19,0.66,231.95,10.43,0.99,11.98,4.11,8.04,9.94,5.68,59.69,0,91.25,2.2,3.62,0.35,3.27,173.69
2022,2,15,4.17,5.11,0.59,243.7,9.51,0.93,12.14,5.42,8.78,10.27,6.16,65,0,91.29,2.28,3.7,0.48,3.23,177.44
2022,2,16,4.5,5.41,0.63,227.29,10.32,1.02,12.06,6.28,9.17,10.38,6.65,69.44,0,91.08,3.14,5.48,1.49,3.99,175.62
2022,2,17,4.81,5.55,0.67,218.77,11.01,1.17,12.41,4.5,8.45,10.47,5.8,60.75,0,91.06,3.17,5.59,1.67,3.91,181.94
2022,2,18,4.78,5.41,0.66,226.58,10.75,1.08,11.91,2.47,7.19,10.12,5.07,54.94,0,91.18,3.31,5.94,1.96,3.98,175.25
2022,2,19,4.65,5.51,0.64,236.56,10.61,0.95,11.37,3.31,7.33,9.93,5.37,60.06,0.02,91.28,3.62,6.27,2.06,4.21,182.25
2022,2,20,4.57,5.83,0.62,234,10.73,0.94,11.24,4.13,7.69,9.8,5.68,64,0.01,90.76,3.98,7.8,1.58,6.21,174.38
2022,2,21,5.32,6.06,0.72,220.9,12.39,1.12,12.59,2.2,7.4,10.59,4.94,51.81,0,90.77,2.75,4.71,1.68,3.03,158.19
2022,2,22,3.61,5.54,0.48,276.73,9.07,1.1,14.75,3.6,9.17,13.22,5.49,48.69,1.54,91.01,5.77,8.54,2.43,6.1,118.38
2022,2,23,3.05,5.11,0.41,293.56,7.21,0.76,13.91,8,10.95,13.21,7.32,69,3.44,91.39,5.88,8.88,2.43,6.46,131.81
2022,2,24,1.92,5.42,0.26,286.43,4.88,0.51,13.83,7.9,10.87,11.98,7.32,68.25,6.04,91.53,1.77,2.97,0.35,2.62,135.25
2022,2,25,3.9,5.4,0.52,266.8,9.12,0.85,13.21,7.17,10.19,12.83,6.96,69.44,1.3,91.57,2.57,4.47,1.66,2.8,128.69
2022,2,26,1.06,5.29,0.14,287.38,2.89,0.26,10.88,6.76,8.83,10.14,6.77,76.44,10.35,91.62,3.91,6.81,0.83,5.98,101.25
2022,2,27,4.59,6.17,0.59,240.18,10.75,0.98,11.6,5.29,8.44,10.82,6.1,67.62,0.09,91.71,2.7,4.72,1.55,3.17,163
2022,2,28,5.01,6.25,0.64,237.83,11.87,1.23,12.74,3.08,7.91,11.64,5.31,54.62,0,91.5,2.77,4.26,1.66,2.59,167.81
2022,3,1,3.54,5.83,0.45,269.86,8.99,0.94,15.51,5.25,10.37,14.14,6.1,52.75,0,91.54,2.11,3.71,0.49,3.22,149.44
2022,3,2,5.17,5.87,-999,224.69,-999,-999,15.51,4.71,10.11,14.9,5.86,51.19,0,91.56,2.19,3.24,0.84,2.41,161.06
2022,3,3,2.29,-999,-999,277.84,-999,-999,14.8,6.69,10.74,14.48,6.71,59.62,3.82,91.58,2.36,5.29,0.64,4.66,115.25
2022,3,4,3.91,-999,-999,243.78,-999,-999,15.28,6.24,10.76,15.58,6.53,57,0.14,91.57,2.48,3.65,0.85,2.8,178.81
2022,3,5,5.14,-999,-999,238.98,-999,-999,16.05,3.66,9.86,15.69,5.49,46.75,0,91.36,3.02,4.73,2.22,2.51,202.25
2022,3,6,3.27,-999,-999,285.16,-999,-999,17.55,4.55,11.05,15.73,5.86,43.75,0,91.3,1.63,2.66,0.52,2.15,117.69
2022,3,7,3.84,-999,-999,269.42,-999,-999,18.09,5.75,11.92,16.66,6.29,46.12,0,91.52,1.93,2.68,0.99,1.69,161.25
2022,3,8,5.46,-999,-999,235.07,-999,-999,17.74,4.66,11.2,17.21,5.86,44.5,0,91.45,3.01,4.43,1.63,2.8,180.5
2022,3,9,6.04,6.24,-999,219.34,-999,-999,17.8,3.06,10.43,16.81,5.25,39.94,0,91.34,3.37,5.07,2.27,2.8,167.5
2022,3,10,5.74,6.25,-999,222.51,-999,-999,17.96,3.19,10.58,16.98,5.31,39.81,0,91.29,3.15,5.44,1.98,3.47,185
2022,3,11,5.97,6.37,-999,219.1,-999,-999,18.17,5.05,11.61,17.52,6.04,44.38,0,91.32,3.12,5.57,1.86,3.71,163.25
2022,3,12,6.21,-999,-999,235.77,-999,-999,19.29,4.98,12.14,18.32,6.04,41.25,0,91.18,3.02,5.27,0.62,4.64,160.44
2022,3,13,5.97,6.37,-999,237.5,-999,-999,20.85,7.26,14.05,19.68,7.08,43.12,0,91.18,3.09,5.38,1.55,3.84,175.88
2022,3,14,6.4,6.51,-999,231.13,-999,-999,21.97,8.27,15.12,21,7.57,43.5,0,91.19,2.94,5.27,0.67,4.59,155.5
2022,3,15,5.91,6.38,-999,247.77,-999,-999,22.72,9.29,16,21.96,8.12,44.44,0,91.01,3.6,6.62,1.65,4.98,177.5
2022,3,16,6.56,6.62,-999,234.21,-999,-999,23.15,7.9,15.52,22.32,7.39,40.44,0,90.76,3.76,7.01,1.8,5.2,184.25
2022,3,17,6.51,6.65,-999,244.96,-999,-999,23.84,7.25,15.55,23.12,7.14,37,0,90.9,2.87,3.57,2.02,1.55,153.12
2022,3,18,5.98,-999,-999,260.71,-999,-999,24.25,11.69,17.97,23.71,9.52,46.75,0,91.03,2.82,4.19,0.87,3.32,135.56
2022,3,19,5.82,-999,-999,263.73,-999,-999,24.87,10.61,17.73,24.47,8.85,42.44,0.04,90.85,2.38,3.56,0.37,3.2,155.56
2022,3,20,5.57,-999,-999,264.6,-999,-999,25.06,9.17,17.12,24.56,8.06,39,0,90.74,2.17,2.88,1.43,1.45,191.69
2022,3,21,6.72,6.84,-999,232.04,-999,-999,23.94,5.85,14.9,23.15,6.47,34.81,0,90.91,3.52,6.33,1.73,4.59,181.31
2022,3,22,6.74,6.98,-999,225.7,-999,-999,22.76,3.65,13.2,21.76,5.49,31.25,0,90.91,4.17,7.43,2.21,5.21,181.19
2022,3,23,6.95,6.98,-999,241.29,-999,-999,22.77,2.98,12.87,21.7,5.25,29.88,0,90.93,3.2,5.08,2.08,3,171.5
2022,3,24,4.32,-999,-999,287.53,-999,-999,23.15,5.67,14.41,22.94,6.41,34.94,0,90.76,2.86,4.03,1.3,2.73,174.69
2022,3,25,6.76,7,-999,238.46,-999,-999,22.51,4.81,13.65,21.96,6.04,35.06,0,90.86,3.98,7.63,2.07,5.56,198.44
2022,3,26,7,7.17,-999,222.45,-999,-999,21.76,1.35,11.55,21.09,4.7,29.19,0,91,4.16,7.64,2.5,5.14,187.81
2022,3,27,7.18,7.24,-999,227.81,-999,-999,23.4,1.02,12.21,21.99,4.64,26,0,91.03,3.79,6.48,2.35,4.13,186.25
2022,3,28,7.07,7.12,-999,238.09,-999,-999,24.38,2.59,13.49,23.55,5.19,27.06,0,91.02,3.08,3.94,1,2.94,180.38
2022,3,29,7.14,7.3,-999,231.84,-999,-999,24.77,1.46,13.12,23.91,4.82,25.94,0,90.85,3.5,5.33,1.83,3.5,182.94
2022,3,30,7.36,7.37,-999,227.2,-999,-999,25.06,-0.95,12.05,24.1,4.09,21.69,0,90.88,2.91,3.63,2.04,1.59,164.06
2022,3,31,7.2,7.29,-999,239.57,-999,-999,24.94,1.61,13.27,24.87,4.88,24.56,0,90.98,3.03,3.98,0.8,3.17,170.19
2022,4,1,6.97,7.26,-999,236.47,-999,-999,24.24,2.57,13.4,23.93,5.13,27.25,0,90.89,3.16,4.56,1.99,2.57,187.81
2022,4,2,6.39,7.17,-999,249.83,-999,-999,25.44,2.65,14.05,24.56,5.13,25.56,0,91.06,2.7,4.31,0.67,3.64,142.94
2022,4,3,6.77,-999,-999,244.05,-999,-999,25.85,1.38,13.62,25.29,4.7,23.19,0,91.05,2.75,4.69,1.53,3.15,164.62
2022,4,4,7.15,-999,-999,239.91,-999,-999,25.97,1.01,13.49,24.63,4.64,22.06,0,90.99,3.15,5.32,2.02,3.3,199.94
2022,4,5,6.8,-999,-999,245.12,-999,-999,25.33,0.63,12.98,24.62,4.52,22.88,0,91.24,3.1,4.46,2.45,2.02,181.56
2022,4,6,7.19,7.41,-999,238.16,-999,-999,25.46,1.11,13.29,24.64,4.64,22.88,0,91.24,3.56,5.48,2.41,3.05,196.31
2022,4,7,6.8,7.34,-999,250.3,-999,-999,26.38,2.58,14.48,25.59,5.13,23.69,0,91.17,3.45,5.72,1.95,3.77,202.06
2022,4,8,7.09,7.36,-999,256.24,-999,-999,27.07,1.96,14.51,26.3,4.94,22.38,0,90.96,3.77,6.27,2.11,4.16,188.12
2022,4,9,6.82,-999,-999,260.66,-999,-999,27.55,2.12,14.83,27.25,5,22,0,90.84,3.62,5.47,1.76,3.71,164.75
